population,response,W,p_value,is_normal
b_cell,no,0.9852040931622245,0.0020342605606094113,False
b_cell,yes,0.9580074777449548,3.854301129913073e-08,False
cd4_t_cell,no,0.9964283902343264,0.6830933015147286,True
cd4_t_cell,yes,0.9953943927326838,0.43595508084378887,True
cd8_t_cell,no,0.9899464857433108,0.024867402670049416,False
cd8_t_cell,yes,0.9941732806308471,0.23703229742519338,True
monocyte,no,0.992971441120608,0.13161204275474686,True
monocyte,yes,0.9912668565155635,0.04743395771999081,False
nk_cell,no,0.9851988516201629,0.0020288932191744368,False
nk_cell,yes,0.9876374653649517,0.0063887323968622525,False
